Well,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid,Malate Titer (g/L),Malate Titer (g/L) mean,Malate Titer (g/L) std,Label
A1,2.585733491422736,1.9652883814814601,3.8765638844603947,3.5120017530161936,0.2791909280386732,0.10601273607788012,0.455640097805324,0.39057585703041775,0.2168758790330487,0.26708649493997255,0.09545651183496338,1.2114735282210218,0.006608380672296734,0.0017435961583988605,0.0016979317684316904,0.021923782904030388,0.0004539255576650972,0.005396850114482052,2.621810909608096,2.621810909608096,2.588852398733483,exploration
A2,2.585733491422736,1.9652883814814601,3.8765638844603947,3.5120017530161936,0.2791909280386732,0.10601273607788012,0.455640097805324,0.39057585703041775,0.2168758790330487,0.26708649493997255,0.09545651183496338,1.2114735282210218,0.006608380672296734,0.0017435961583988605,0.0016979317684316904,0.021923782904030388,0.0004539255576650972,0.005396850114482052,2.621810909608096,2.621810909608096,2.588852398733483,exploration
A3,2.585733491422736,1.9652883814814601,3.8765638844603947,3.5120017530161936,0.2791909280386732,0.10601273607788012,0.455640097805324,0.39057585703041775,0.2168758790330487,0.26708649493997255,0.09545651183496338,1.2114735282210218,0.006608380672296734,0.0017435961583988605,0.0016979317684316904,0.021923782904030388,0.0004539255576650972,0.005396850114482052,2.621810909608096,2.621810909608096,2.588852398733483,exploration
B1,1.0462767101767627,3.3031816592309324,4.7898118667673035,0.7896474769248161,0.2650182359839519,0.04215456935153344,0.30671963988142986,0.26234502668540755,0.46645448324939465,0.16326999712620888,0.07682690481456843,2.237152634775893,0.004717055801373177,0.008630466743905591,0.0006805689316336961,0.03455976598335784,0.0036384716544881983,0.007752545082481849,2.830213042512728,2.830213042512728,2.588260200712288,exploration
B2,1.0462767101767627,3.3031816592309324,4.7898118667673035,0.7896474769248161,0.2650182359839519,0.04215456935153344,0.30671963988142986,0.26234502668540755,0.46645448324939465,0.16326999712620888,0.07682690481456843,2.237152634775893,0.004717055801373177,0.008630466743905591,0.0006805689316336961,0.03455976598335784,0.0036384716544881983,0.007752545082481849,2.830213042512728,2.830213042512728,2.588260200712288,exploration
B3,1.0462767101767627,3.3031816592309324,4.7898118667673035,0.7896474769248161,0.2650182359839519,0.04215456935153344,0.30671963988142986,0.26234502668540755,0.46645448324939465,0.16326999712620888,0.07682690481456843,2.237152634775893,0.004717055801373177,0.008630466743905591,0.0006805689316336961,0.03455976598335784,0.0036384716544881983,0.007752545082481849,2.830213042512728,2.830213042512728,2.588260200712288,exploration
C1,2.048487501010572,3.955851889496704,4.666319513440042,0.20476611049453985,0.06657445626643808,0.28951254995275455,0.45862212401902397,0.12222226176615535,0.0034696335518216333,0.008148632325083862,0.020806545175446885,2.2927613049068274,0.00942226861952989,0.0037383089117037044,0.007515686774546738,0.05753834759156224,0.007318284132354611,0.007071799225800882,3.126323144030808,3.126323144030808,2.588145953937911,exploration
C2,2.048487501010572,3.955851889496704,4.666319513440042,0.20476611049453985,0.06657445626643808,0.28951254995275455,0.45862212401902397,0.12222226176615535,0.0034696335518216333,0.008148632325083862,0.020806545175446885,2.2927613049068274,0.00942226861952989,0.0037383089117037044,0.007515686774546738,0.05753834759156224,0.007318284132354611,0.007071799225800882,3.126323144030808,3.126323144030808,2.588145953937911,exploration
C3,2.048487501010572,3.955851889496704,4.666319513440042,0.20476611049453985,0.06657445626643808,0.28951254995275455,0.45862212401902397,0.12222226176615535,0.0034696335518216333,0.008148632325083862,0.020806545175446885,2.2927613049068274,0.00942226861952989,0.0037383089117037044,0.007515686774546738,0.05753834759156224,0.007318284132354611,0.007071799225800882,3.126323144030808,3.126323144030808,2.588145953937911,exploration
D1,3.8896901255420415,4.319213233504017,4.783651395858859,1.6148147541843798,0.07865979960095436,0.009209056645208762,0.3657452900022078,0.16977294739594526,0.2052397212175167,0.3218596481451408,0.07990725104913604,2.4257456617920377,0.0019510697230632988,0.005620258251009503,0.005037334104228004,0.02274023668630518,0.006056693764271686,0.008927558768156383,2.997897492308816,2.997897492308816,2.5876849890289884,exploration
D2,3.8896901255420415,4.319213233504017,4.783651395858859,1.6148147541843798,0.07865979960095436,0.009209056645208762,0.3657452900022078,0.16977294739594526,0.2052397212175167,0.3218596481451408,0.07990725104913604,2.4257456617920377,0.0019510697230632988,0.005620258251009503,0.005037334104228004,0.02274023668630518,0.006056693764271686,0.008927558768156383,2.997897492308816,2.997897492308816,2.5876849890289884,exploration
D3,3.8896901255420415,4.319213233504017,4.783651395858859,1.6148147541843798,0.07865979960095436,0.009209056645208762,0.3657452900022078,0.16977294739594526,0.2052397212175167,0.3218596481451408,0.07990725104913604,2.4257456617920377,0.0019510697230632988,0.005620258251009503,0.005037334104228004,0.02274023668630518,0.006056693764271686,0.008927558768156383,2.997897492308816,2.997897492308816,2.5876849890289884,exploration
E1,0.5545607818832357,1.7249347648942592,3.727282588843067,2.8230404121212076,0.14300788619415994,0.077555464873104,0.32488442804682705,0.3676679807444271,0.029087015353371437,0.35851087993222297,0.037996535903586086,1.1950458298496254,0.004482576309513688,2.1305659147860758e-05,0.009020757027680062,0.05070447918935791,0.0037960251675002153,0.007168507584068859,3.0376105683689705,3.0376105683689705,2.5874797705326475,exploration
E2,0.5545607818832357,1.7249347648942592,3.727282588843067,2.8230404121212076,0.14300788619415994,0.077555464873104,0.32488442804682705,0.3676679807444271,0.029087015353371437,0.35851087993222297,0.037996535903586086,1.1950458298496254,0.004482576309513688,2.1305659147860758e-05,0.009020757027680062,0.05070447918935791,0.0037960251675002153,0.007168507584068859,3.0376105683689705,3.0376105683689705,2.5874797705326475,exploration
E3,0.5545607818832357,1.7249347648942592,3.727282588843067,2.8230404121212076,0.14300788619415994,0.077555464873104,0.32488442804682705,0.3676679807444271,0.029087015353371437,0.35851087993222297,0.037996535903586086,1.1950458298496254,0.004482576309513688,2.1305659147860758e-05,0.009020757027680062,0.05070447918935791,0.0037960251675002153,0.007168507584068859,3.0376105683689705,3.0376105683689705,2.5874797705326475,exploration
