Well,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid
A1,4.663187489224529,3.1941298256469373,3.633665170047449,4.175931447094971,0.4007046096836013,0.3121177342454877,0.3116288486574064,0.173818118631978,0.19775939414636845,0.2548409721443085,0.05841077949423216,2.368982021046813,1.5941630617636115e-05,0.003469619430665593,0.004595134286678131,0.0340015648570024,0.00531568672028867,0.002739023925029366
A2,4.663187489224529,3.1941298256469373,3.633665170047449,4.175931447094971,0.4007046096836013,0.3121177342454877,0.3116288486574064,0.173818118631978,0.19775939414636845,0.2548409721443085,0.05841077949423216,2.368982021046813,1.5941630617636115e-05,0.003469619430665593,0.004595134286678131,0.0340015648570024,0.00531568672028867,0.002739023925029366
A3,4.663187489224529,3.1941298256469373,3.633665170047449,4.175931447094971,0.4007046096836013,0.3121177342454877,0.3116288486574064,0.173818118631978,0.19775939414636845,0.2548409721443085,0.05841077949423216,2.368982021046813,1.5941630617636115e-05,0.003469619430665593,0.004595134286678131,0.0340015648570024,0.00531568672028867,0.002739023925029366
B1,0.4634160976656032,1.2028244041068863,3.4879490459850215,2.090830241979076,0.0021329676558714743,0.6414872787397458,0.36421199245159186,0.4705530443979732,0.4190284173838719,0.0012598699849199549,0.0634779230272337,1.9730340607906327,0.0005028915802838561,0.0008118408055230881,0.0034375353889903103,2.6061473412593435e-05,0.007166934427929577,0.007175010306468807
B2,0.4634160976656032,1.2028244041068863,3.4879490459850215,2.090830241979076,0.0021329676558714743,0.6414872787397458,0.36421199245159186,0.4705530443979732,0.4190284173838719,0.0012598699849199549,0.0634779230272337,1.9730340607906327,0.0005028915802838561,0.0008118408055230881,0.0034375353889903103,2.6061473412593435e-05,0.007166934427929577,0.007175010306468807
B3,0.4634160976656032,1.2028244041068863,3.4879490459850215,2.090830241979076,0.0021329676558714743,0.6414872787397458,0.36421199245159186,0.4705530443979732,0.4190284173838719,0.0012598699849199549,0.0634779230272337,1.9730340607906327,0.0005028915802838561,0.0008118408055230881,0.0034375353889903103,2.6061473412593435e-05,0.007166934427929577,0.007175010306468807
C1,3.0374402390675046,1.8316170821431492,2.6667554721218947,4.031676018190431,0.07520835039301421,1.0508430919572864,0.10935737256185857,0.03184929522416421,0.48700296302454477,0.07345806115581505,0.005607490705839395,5.5590705414609e-05,0.005642388425528165,0.007673425450048653,0.0035486548901919337,0.01028755964802499,0.002307813580858998,0.0063697829027901135
C2,3.0374402390675046,1.8316170821431492,2.6667554721218947,4.031676018190431,0.07520835039301421,1.0508430919572864,0.10935737256185857,0.03184929522416421,0.48700296302454477,0.07345806115581505,0.005607490705839395,5.5590705414609e-05,0.005642388425528165,0.007673425450048653,0.0035486548901919337,0.01028755964802499,0.002307813580858998,0.0063697829027901135
C3,3.0374402390675046,1.8316170821431492,2.6667554721218947,4.031676018190431,0.07520835039301421,1.0508430919572864,0.10935737256185857,0.03184929522416421,0.48700296302454477,0.07345806115581505,0.005607490705839395,5.5590705414609e-05,0.005642388425528165,0.007673425450048653,0.0035486548901919337,0.01028755964802499,0.002307813580858998,0.0063697829027901135
D1,0.32877807566683837,2.8870890976973076,4.093005438426795,0.4524092879831312,0.3182563368517289,0.006774341722716209,0.34571880092994545,0.4232874396745149,0.3598190502315962,0.026141510927232263,0.011016345643384363,0.5397938338236532,0.004528611233930512,0.007755465118390965,0.0005194203071666118,0.0034313367544061774,0.007448332970794112,5.6227925124332096e-05
